"PROMOTER_TYPE","SURVEY_RESPONSE_DATE","SURVEY_ID","LIKELIHOOD_TO_RECOMMEND","SUPPORT_SATISFACTION","TICKET_NUM"
"Promoter","2018-03-05","6616240","10","10","29157,000,834"
"Detractor","2018-04-16","7311917","1","0","29181,004,000"
"Detractor","2017-03-10","1701172","5","3","29440,040,678"
"Promoter","2017-05-15","2527135","10","10","30063,122,000"
"Detractor","2017-09-04","4101399","1","2","30941,442,000"
"Promoter","2016-10-10","650475","10","10","34499,841,758"
"Passive","2016-10-23","712823","8","8","35751,220,616"
"Detractor","2017-07-31","3646138","0","0","36495,999,760"
"Promoter","2016-11-18","934198","10","9","36666,999,702"
"Passive","2017-06-12","2993459","7","9","37005,999,702"
"Promoter","2016-11-07","817203","10","10","10529,999,649"
"Promoter","2016-12-26","1210408","10","10","11651,999,649"
"Promoter","2017-01-11","1290577","10","10","11790,004,000"
"Passive","2018-02-02","6140234","8","9","11923,019,866"
"Passive","2016-11-21","934877","7","0","14425,082,000"
"Passive","2017-11-27","5519002","8","8","15117,227,000"
"Promoter","2017-12-11","5680317","9","9","16047,227,000"
"Detractor","2017-01-20","1345480","0","0","16520,L6Q,000"
"Promoter","2016-11-11","858860","10","10","17182,442,000"
"Promoter","2017-09-27","4410834","10","10","18192,000,744"
"Promoter","2017-03-15","1789879","10","8","18405,130,846"
"Promoter","2017-02-03","1446471","9","10","19877,L6Q,000"
"Promoter","2017-04-21","2301734","10","5","20617,499,000"
"Promoter","2016-10-04","624023","10","10","21233,L6Q,000"
"Promoter","2017-10-06","4661057","9","10","21334,999,706"
"Detractor","2017-07-25","3591289","2","3","37102,999,760"
"Passive","2017-08-06","3646878","7","8","37127,999,760"
"Promoter","2016-10-24","697726","9","9","37731,664,706"
"Promoter","2017-03-13","1765525","9","10","39276,L6Q,000"
"Promoter","2016-12-09","1003317","10","10","40091,082,000"
"Passive","2017-07-03","3335602","8","8","40111,130,702"
"Promoter","2016-12-12","1112910","9","9","40483,122,000"
"Promoter","2017-11-06","5115997","9","9","40584,110,846"
"Promoter","2016-12-12","1121250","9","9","41031,122,000"
"Promoter","2018-04-03","7086755","9","9","41285,140,702"
"Detractor","2016-10-21","714754","5","5","41374,L6Q,000"
"Promoter","2017-07-17","3525512","9","9","42092,082,000"
"Promoter","2017-09-02","4101948","10","10","42191,999,760"
"Promoter","2017-08-31","3976351","9","6","42432,082,000"
"Passive","2017-12-05","5629555","8","8","22317,100,838"
"Promoter","2017-09-19","4325390","10","10","23355,228,631"
"Passive","2017-07-17","3464731","8","8","23748,082,000"
"Passive","2017-10-09","4664062","8","10","24486,999,616"
"Passive","2017-11-27","5519137","7","7","25279,659,760"
"Promoter","2017-03-28","1917641","9","8","25462,211,788"
"Promoter","2017-10-05","4631632","10","10","25629,100,838"
"Promoter","2017-11-30","5308154","9","9","25632,082,000"
"Passive","2017-10-06","4661778","7","7","26116,082,000"
"Promoter","2017-04-10","2011298","9","9","26345,442,000"
"Passive","2017-01-16","1289150","8","8","27190,000,852"
"Promoter","2017-10-10","4689635","10","10","27595,082,649"
"Detractor","2017-07-04","3403494","1","1","28880,999,724"
"Detractor","2017-04-24","2325481","5","10","29670,442,000"
"Promoter","2017-12-04","5561018","10","10","30941,077,724"
"Promoter","2018-01-29","6118021","10","10","31609,077,724"
"Promoter","2016-12-09","1054087","10","10","42732,082,000"
"Promoter","2017-10-06","4659590","9","10","45149,004,000"
"Promoter","2018-05-04","7808949","10","10","45867,228,631"
"Passive","2018-01-13","5929797","8","10","47248,634,760"
"Promoter","2017-04-07","2054491","10","10","47704,057,649"
"Passive","2017-07-17","3521675","8","8","47965,000,856"
"Passive","2017-04-06","2033446","8","10","48846,L6Q,000"
"Passive","2018-04-09","7120859","8","8","49026,082,000"
"Promoter","2017-06-06","2985296","10","10","49673,057,649"
"Detractor","2018-01-14","5930186","6","10","49777,122,000"
"Promoter","2017-11-28","5542843","10","10","49817,004,000"
"Promoter","2017-11-28","5542166","10","9","49849,004,000"
"Promoter","2016-12-12","1113956","10","10","52150,442,000"
"Promoter","2017-11-14","5255791","10","10","52838,082,000"
"Promoter","2017-11-06","5114506","10","10","534325"
"Promoter","2017-11-20","5350929","10","10","537962"
"Passive","2018-01-12","5969339","8","9","549497"
"Detractor","2017-10-17","4721568","1","1","31647,442,000"
"Passive","2017-01-27","1401437","7","8","31761,001,806"
"Passive","2017-06-27","3333005","8","8","32829,L6Q,000"
"Promoter","2017-03-14","1766768","10","10","33879,821,821"
"Promoter","2017-01-02","1177109","9","9","37181,017,649"
"Passive","2017-09-14","4280307","7","8","38596,756,000"
"Detractor","2017-10-08","4632973","0","0","41546,999,744"
"Promoter","2017-02-24","1606140","10","10","41834,025,724"
"Passive","2017-04-16","2220070","8","9","42898,024,620"
"Passive","2017-08-28","3976835","7","8","43451,000,613"
"Promoter","2018-03-30","6966717","10","10","45249,082,000"
"Promoter","2017-07-04","3407818","10","10","45345,668,668"
"Passive","2017-11-30","5587996","8","8","45400,122,000"
"Promoter","2017-12-13","5695817","10","10","45564,122,000"
"Promoter","2017-10-16","4719687","10","10","45802,004,000"
"Promoter","2017-09-15","4279199","10","10","47993,826,826"
"Promoter","2018-01-15","5930156","10","8","48777,000,856"
"Detractor","2017-01-20","1347476","6","8","50738,300,838"
"Promoter","2017-03-06","1697956","10","10","51201,227,000"
"Detractor","2016-11-18","906526","1","1","51583,228,631"
"Promoter","2017-08-29","4056352","10","10","53548,999,858"
"Detractor","2017-11-27","5518266","2","0","535875"
"Passive","2017-11-30","5588318","8","10","54728,082,000"
"Promoter","2016-10-08","627544","10","10","54824,830,758"
"Passive","2018-03-08","6616921","8","8","58196,999,760"
"Promoter","2018-03-11","6616935","10","10","58718,999,760"
"Promoter","2018-02-12","6298290","10","10","59294,671,760"
"Promoter","2018-04-16","7312696","9","9","61112,000,738"
"Promoter","2017-08-21","3919038","10","10","61253,420,631"
"Promoter","2017-02-17","1506118","10","10","61399,632,760"
"Detractor","2017-07-18","3506559","2","5","61600,L6Q,000"
"Detractor","2017-12-22","5721870","5","4","61786,820,820"
"Passive","2017-04-05","2014063","8","8","62471,035,724"
"Promoter","2016-11-29","1015546","10","10","62713,999,760"
"Promoter","2016-12-06","1045340","10","10","63064,999,866"
"Promoter","2017-07-18","3507816","10","10","63445,632,760"
"Promoter","2018-05-02","7618651","10","10","63897,075,724"
"Promoter","2017-02-27","1606792","9","9","64169,999,866"
"Passive","2017-10-11","4661223","8","9","64263,L6Q,000"
"Promoter","2017-06-23","3254731","10","9","64931,442,000"
"Promoter","2018-03-12","6710104","9","9","66124,999,631"
"Promoter","2018-03-02","6514117","10","9","66302,227,000"
"Promoter","2016-11-08","857243","9","9","67304,664,706"
"Promoter","2017-12-04","5609164","10","10","69371,660,706"
"Promoter","2017-05-16","2532777","10","10","69419,100,838"
"Passive","2018-01-30","6142428","8","10","69522,660,706"
"Promoter","2017-05-10","2438999","9","8","69767,072,649"
"Detractor","2017-09-06","4164552","5","5","55394,L6Q,000"
"Promoter","2018-05-15","7976566","9","9","579219"
"Detractor","2017-10-06","4661123","6","7","58133,227,000"
"Promoter","2017-09-26","4438046","10","10","62210,L6Q,000"
"Promoter","2018-03-21","6895971","10","10","63721,674,760"
"Promoter","2017-11-28","5543053","10","10","65065,082,000"
"Passive","2017-09-26","4412032","8","9","66288,227,000"
"Passive","2017-06-12","3110098","8","6","67548,082,000"
"Promoter","2017-07-14","3468179","9","9","69129,689,864"
"Passive","2018-02-04","6142423","8","7","69385,999,781"
"Promoter","2017-06-19","3258626","10","10","71178,215,616"
"Detractor","2016-10-11","660739","6","8","71761,004,000"
"Promoter","2017-11-20","5308845","9","5","72025,180,846"
"Detractor","2018-01-08","5880903","5","10","75305,633,760"
"Promoter","2016-10-04","627466","10","10","78924,766,766"
"Passive","2016-11-15","903255","8","8","78952,842,758"
"Promoter","2017-03-23","1878638","10","10","79821,842,758"
"Promoter","2018-01-22","6066316","10","10","80915,057,649"
"Promoter","2017-06-19","3258399","10","10","80932,442,000"
"Detractor","2018-03-12","6691084","1","1","82051,057,649"
"Promoter","2018-04-23","7412561","10","10","82764,841,758"
"Promoter","2017-03-02","1665392","10","10","86381,019,866"
"Promoter","2018-02-09","6270270","10","10","87366,L6Q,000"
"Promoter","2017-10-17","4775024","10","10","88657,124,672"
"Promoter","2017-12-20","5806561","10","10","89095,442,000"
"Passive","2017-12-27","5827336","7","6","90428,060,618"
"Detractor","2017-04-10","2023921","0","0","90517,215,616"
"Passive","2016-12-16","1113649","8","9","90903,L6Q,000"
"Passive","2017-11-19","5280261","8","8","90993,999,738"
"Promoter","2017-02-24","1608435","10","10","91045,442,000"
"Promoter","2017-01-31","1410087","10","10","91520,255,631"
"Passive","2018-04-27","7544983","8","9","92278,031,724"
"Promoter","2018-01-22","6066946","10","10","92926,442,000"
"Promoter","2017-07-06","3402521","10","10","93445,000,744"
"Promoter","2017-02-07","1472321","10","10","93983,300,624"
"Detractor","2018-03-20","6876641","5","7","CS0018968"
"Detractor","2018-04-17","7267577","5","0","CS0019452"
"Passive","2018-02-21","6425162","8","5","TS000088071"
"Detractor","2018-02-13","6244583","3","3","TS000095811"
"Promoter","2018-02-21","6377558","10","10","TS000097909"
"Promoter","2018-02-21","6424488","9","9","TS000104689"
"Promoter","2018-04-16","7233517","9","10","TS000128234"
"Promoter","2018-03-16","6743744","10","10","TS000129274"
"Passive","2018-04-20","7199009","7","10","TS000133300"
"Promoter","2018-05-15","8027708","9","10","TS000141779"
"Detractor","2018-04-01","7029971","6","5","TS000148624"
"Promoter","2018-04-18","7376343","10","10","TS000198595"
"Promoter","2018-05-01","7675898","10","10","TS000838130"
"Promoter","2017-11-06","5116812","10","10","70067,L6Q,000"
"Promoter","2016-10-20","709664","10","10","70556,004,000"
"Promoter","2016-10-25","741960","10","10","71201,004,000"
"Promoter","2017-09-13","4192911","9","9","71770,180,846"
"Promoter","2017-08-28","3976407","10","10","71970,034,649"
"Promoter","2017-11-01","4990973","9","9","72006,180,846"
"Promoter","2017-08-09","3743155","9","9","74172,057,649"
"Promoter","2016-12-02","1029502","10","10","74354,L6Q,000"
"Detractor","2017-05-12","2439540","6","6","75050,082,000"
"Passive","2017-08-28","4039680","8","8","76741,082,000"
"Promoter","2017-05-15","2527892","10","10","77399,L6Q,000"
"Promoter","2017-02-20","1575541","10","10","78858,442,000"
"Promoter","2017-09-16","4239597","10","10","78918,082,000"
"Promoter","2017-12-26","5827023","9","7","79702,L6Q,000"
"Promoter","2017-04-25","2325901","10","9","81218,071,724"
"Promoter","2017-04-17","2239684","9","9","83502,693,760"
"Promoter","2017-05-08","2392016","10","10","84294,033,724"
"Passive","2017-06-26","3334358","7","7","84441,004,000"
"Promoter","2018-02-01","6202557","10","10","84552,L6Q,000"
"Passive","2017-05-05","2414753","7","9","87897,227,000"
"Promoter","2018-03-08","6670344","10","10","88354,122,000"
"Promoter","2016-12-26","1210395","10","10","90108,004,000"
"Passive","2016-11-07","856198","8","9","90144,227,000"
"Promoter","2016-11-16","900801","9","9","90317,250,631"
"Promoter","2018-03-28","6876019","10","10","91518,124,672"
"Passive","2018-03-19","6742175","8","9","92806,004,000"
"Promoter","2018-02-05","6231496","9","9","93945,004,000"
"Detractor","2018-02-03","6159795","0","0","CS0014737"
"Detractor","2018-01-02","5872720","5","4","TS000075302"
"Promoter","2018-02-06","6244253","10","10","TS000091262"
"Promoter","2018-02-15","6350584","10","10","TS000110689"
"Promoter","2018-03-13","6760139","10","10","TS000134618"
"Promoter","2018-04-27","7467052","10","10","TS000212224"
"Passive","2018-04-27","7468087","7","7","TS000794642"
"Promoter","2018-05-09","7921192","10","10","TS000876175"
"Promoter","2018-05-01","7568164","10","10","00524,227,000"
"Promoter","2016-12-20","1115037","9","9","01305,070,724"
"Passive","2018-05-11","7977630","8","9","01997718"
"Promoter","2017-09-09","4193006","9","9","02126,840,758"
"Promoter","2017-03-31","1986739","10","10","03916,723,631"
"Promoter","2017-03-27","1918002","10","10","04114,082,000"
"Passive","2018-01-12","5969989","8","7","05464,804,804"
"Passive","2016-12-05","1053512","7","6","05631,9CH,846"
"Passive","2017-09-11","4178540","7","10","07727,122,000"
"Promoter","2017-07-28","3629112","10","10","07890,442,000"
"Promoter","2017-02-20","1521018","10","10","08537,022,724"
"Passive","2016-10-20","736052","7","8","09874,999,649"
"Passive","2017-03-15","1748144","8","7","10695,635,760"
"Promoter","2017-11-12","5149663","10","10","10748,082,000"
"Promoter","2018-04-16","7310728","10","10","11076,655,760"
"Promoter","2016-10-04","626641","10","10","00408,830,758"
"Passive","2016-12-23","1189578","8","7","00549,999,704"
"Promoter","2018-05-07","7807783","9","9","00650,227,000"
"Detractor","2017-06-19","3222958","0","1","00836,999,681"
"Promoter","2017-03-03","1631728","10","10","01252,000,649"
"Passive","2016-10-11","643396","8","8","01508,124,848"
"Promoter","2017-11-28","5504934","10","10","02151,840,758"
"Promoter","2018-02-26","6512090","9","9","02217,442,000"
"Promoter","2017-02-21","1578073","9","9","02218,070,724"
"Detractor","2016-10-04","627691","6","8","03641,000,852"
"Detractor","2017-08-21","3848541","6","7","04189,000,852"
"Promoter","2018-01-18","6035170","10","10","04864,999,738"
"Promoter","2017-03-13","1764385","9","9","05434,442,000"
"Passive","2017-01-02","1236556","8","8","05726,L6Q,000"
"Promoter","2017-06-25","3285156","10","10","06276,999,852"
"Passive","2017-02-14","1519308","8","10","06695,999,744"
"Promoter","2017-03-20","1844690","9","8","07354,657,760"
"Promoter","2017-07-25","3593704","10","10","07429,082,000"
"Promoter","2017-07-22","3562718","10","10","07697,999,724"
"Promoter","2017-06-21","3253101","10","10","08017,000,766"
"Detractor","2017-02-14","1505235","6","6","09050,999,616"
"Detractor","2017-05-02","2393462","5","8","09443,659,760"
"Promoter","2017-12-12","5718756","9","9","09685,67D,760"
"Detractor","2017-11-08","5149664","2","2","10810,082,000"
"Passive","2017-09-25","4365821","8","9","11484,082,000"
"Promoter","2018-02-21","6440674","10","10","11688,842,758"
"Passive","2017-09-20","4365996","8","10","12032,082,000"
"Promoter","2017-11-07","5115604","10","10","12288,635,760"
"Promoter","2017-08-15","3788423","10","10","11687,635,760"
"Promoter","2017-08-14","3789791","10","10","11736,635,760"
"Promoter","2017-04-24","2322404","9","9","15564,122,000"
"Detractor","2017-01-31","1409943","5","5","15576,999,760"
"Promoter","2018-02-27","6475604","9","9","16870,227,000"
"Passive","2017-01-19","1346147","8","8","17394,001,862"
"Passive","2017-08-03","3687647","8","9","19434,001,862"
"Promoter","2017-05-11","2424555","10","6","19520,122,000"
"Promoter","2017-02-07","1453179","10","10","19728,L6Q,000"
"Detractor","2017-11-08","5144442","2","1","20520,049,649"
"Passive","2017-04-17","2217911","7","9","20932,999,616"
"Passive","2017-08-14","3744052","7","7","21042,999,649"
"Promoter","2018-03-12","6669441","9","10","22200,070,724"
"Promoter","2017-09-20","4279322","10","10","22853,124,848"
"Passive","2017-07-03","3405895","7","3","24390,227,000"
"Promoter","2017-01-12","1299412","10","10","25715,122,000"
"Promoter","2016-10-31","819955","10","10","25782,082,000"
"Detractor","2017-05-05","2415539","5","5","27471,010,618"
"Promoter","2017-01-03","1206873","10","10","27609,689,864"
"Promoter","2017-10-19","4820374","10","6","27662,082,000"
"Promoter","2017-06-12","3109996","10","10","27816,L6Q,000"
"Passive","2017-11-13","5144699","7","7","29473,122,000"
"Promoter","2017-03-29","1918995","9","9","29547,420,631"
"Passive","2017-06-19","3252817","8","8","30883,L6Q,000"
"Promoter","2017-03-20","1840589","10","10","31563,082,000"
"Promoter","2017-03-30","1911917","10","10","32060,082,000"
"Promoter","2017-04-11","2054361","10","10","34347,082,000"
"Passive","2017-10-23","4792491","8","8","35771,001,862"
"Passive","2016-10-24","754305","7","6","12584,999,778"
"Promoter","2017-06-30","3333369","10","10","13142,999,778"
"Detractor","2017-05-15","2527309","5","8","14004,644,644"
"Detractor","2017-02-24","1576289","4","7","15409,L6Q,000"
"Passive","2017-08-09","3743790","8","8","16540,999,616"
"Promoter","2016-11-01","795179","9","8","16919,130,846"
"Promoter","2017-08-08","3713628","10","10","16922,999,866"
"Promoter","2017-10-09","4661497","10","10","17029,999,706"
"Promoter","2017-04-24","2321891","9","9","17103,122,000"
"Promoter","2017-12-11","5680290","10","10","17250,999,616"
"Promoter","2017-09-18","4298712","10","10","17393,841,758"
"Promoter","2017-04-27","2322652","10","10","20010,999,744"
"Promoter","2016-12-12","1116253","9","7","20533,024,767"
"Passive","2017-06-05","2982262","8","9","20961,228,631"
"Promoter","2017-08-07","3714529","9","9","21208,442,000"
"Passive","2017-06-26","3336682","7","10","22160,082,000"
"Promoter","2017-07-03","3406436","9","9","24033,082,000"
"Detractor","2017-02-27","1638506","2","3","24281,077,649"
"Promoter","2017-09-12","4217654","10","10","25811,999,724"
"Promoter","2017-08-25","3917009","10","10","25853,211,788"
"Passive","2017-05-16","2527614","7","9","25975,211,788"
"Promoter","2017-10-31","4990013","10","10","26320,082,000"
"Promoter","2017-05-08","2437933","10","10","26516,442,000"
"Promoter","2018-01-19","6046798","10","10","27180,999,724"
"Passive","2018-03-13","6669508","7","6","27790,110,846"
"Promoter","2017-04-13","2218728","10","","28351,L6Q,000"
"Promoter","2017-06-06","2843715","9","10","30061,300,624"
"Detractor","2017-01-02","1238306","5","8","30578,999,661"
"Passive","2017-01-17","1317017","8","9","31637,227,000"
"Promoter","2017-06-28","3315258","10","10","32158,L6Q,000"
"Passive","2016-11-07","855656","7","3","32876,SGC,724"
"Promoter","2016-11-14","903490","10","10","37880,999,856"
"Promoter","2017-07-17","3523872","9","9","40331,227,000"
"Promoter","2016-11-29","1004465","9","9","40625,140,702"
"Detractor","2017-10-30","4912431","2","2","40666,122,000"
"Passive","2017-01-23","1345692","7","7","43207,057,649"
"Promoter","2017-03-21","1810022","10","10","43385,227,000"
"Promoter","2017-05-02","2397215","10","10","44040,442,000"
"Passive","2017-05-08","2425649","8","8","44489,923,848"
"Detractor","2017-08-01","3662000","5","9","45208,010,678"
"Promoter","2017-06-25","3316260","10","10","45806,000,738"
"Promoter","2017-10-08","4635893","10","10","46257,999,760"
"Promoter","2018-04-02","7007311","9","9","47681,082,000"
"Promoter","2017-10-26","4920852","9","10","48348,080,678"
"Detractor","2017-11-28","5542803","4","4","48531,000,738"
"Passive","2018-02-20","6406777","8","5","48564,080,678"
"Promoter","2017-09-19","4280929","10","10","49087,999,672"
"Promoter","2018-02-08","6268735","10","10","49141,000,738"
"Promoter","2017-09-18","4326539","10","10","49414,L6Q,000"
"Promoter","2018-03-11","6709854","10","10","49447,000,738"
"Promoter","2017-08-22","3921918","10","10","49469,922,848"
"Promoter","2017-11-07","5111047","10","10","50241,082,000"
"Detractor","2017-10-01","4482145","0","0","522899"
"Passive","2018-04-13","7232157","7","7","52383,663,706"
"Promoter","2017-01-16","1324665","10","10","54405,841,758"
"Passive","2017-10-30","4939317","8","8","55300,800,624"
"Promoter","2017-05-22","2722908","10","","56943,004,000"
"Promoter","2017-09-25","4411542","9","9","58680,070,724"
"Promoter","2017-02-16","1553739","10","10","60079,227,000"
"Passive","2017-10-20","4820369","8","5","60819,820,820"
"Detractor","2016-10-18","714276","6","6","62167,999,866"
"Promoter","2017-10-09","4691608","10","10","62960,674,760"
"Promoter","2017-03-31","1914102","9","9","63578,999,631"
"Promoter","2018-03-05","6621919","9","10","37009,001,862"
"Detractor","2017-08-17","3714395","5","7","37147,999,760"
"Detractor","2016-11-07","853985","5","5","38267,999,760"
"Passive","2016-10-06","643638","7","5","39263,228,631"
"Promoter","2017-02-03","1453572","10","10","40334,227,000"
"Passive","2018-02-04","6167658","8","8","40580,756,000"
"Promoter","2017-12-05","5609497","9","9","41179,140,702"
"Detractor","2017-01-23","1347690","2","2","42186,122,000"
"Passive","2018-03-14","6709759","8","10","42384,082,000"
"Passive","2017-01-03","1236517","7","8","42944,057,649"
"Promoter","2017-07-03","3402195","10","10","43356,000,613"
"Promoter","2018-03-15","6795294","10","10","43658,082,000"
"Detractor","2018-04-04","7086859","5","5","44289,999,846"
"Promoter","2018-03-21","6895670","10","7","44848,082,000"
"Promoter","2017-07-06","3436647","10","10","45541,000,738"
"Promoter","2017-11-27","5452912","10","10","45593,122,000"
"Passive","2018-01-09","5930105","8","9","46197,010,678"
"Detractor","2018-02-12","6298224","5","3","46276,617,760"
"Promoter","2017-09-26","4437325","10","10","46387,999,744"
"Promoter","2017-07-31","3646192","10","10","47718,L6Q,000"
"Promoter","2017-11-06","5116497","10","10","48357,999,760"
"Promoter","2017-03-24","1890628","9","9","51053,217,631"
"Promoter","2017-10-16","4719644","10","10","526521"
"Promoter","2017-06-09","3073694","10","10","53913,082,000"
"Detractor","2017-12-07","5666226","3","2","540744"
"Promoter","2017-01-09","1237714","10","10","54876,442,000"
"Passive","2018-02-05","6065333","8","8","55964,999,760"
"Promoter","2017-04-22","2254485","9","9","57321,260,631"
"Promoter","2017-06-05","2989035","10","10","58938,420,631"
"Promoter","2017-09-11","4149508","9","9","59679,227,000"
"Passive","2018-02-02","6213652","8","9","61142,122,000"
"Detractor","2016-10-11","651591","5","6","61369,999,760"
"Detractor","2016-10-06","644119","6","9","61567,L6Q,000"
"Passive","2018-05-11","7865196","8","8","61890,082,000"
"Promoter","2017-04-05","2014937","10","10","62279,69E,760"
"Promoter","2017-01-31","1409786","10","10","62992,999,631"
"Detractor","2017-01-02","1213864","2","2","63114,999,866"
"Promoter","2017-02-14","1504025","10","10","63460,073,724"
"Detractor","2018-02-27","6441192","2","2","63888,035,724"
"Promoter","2017-05-05","2390116","10","10","63900,999,631"
"Detractor","2018-03-19","6617235","1","5","64356,672,760"
"Passive","2017-05-26","2824951","8","10","64482,442,000"
"Passive","2017-08-17","3846703","8","8","65057,122,000"
"Passive","2018-01-19","6035769","8","10","65077,923,848"
"Promoter","2018-02-26","6441614","10","10","66034,999,631"
"Promoter","2018-03-05","6569752","10","10","66465,004,000"
"Promoter","2017-01-12","1297951","10","10","67874,442,000"
"Promoter","2017-05-03","2391317","10","10","68446,664,706"
"Detractor","2016-12-04","1035641","5","5","68770,999,760"
"Passive","2016-10-05","627820","8","8","69444,122,000"
"Detractor","2018-01-29","6089391","0","0","69481,004,000"
"Promoter","2018-03-20","6691001","10","9","69810,999,781"
"Promoter","2017-10-24","4862403","10","10","70394,999,766"
"Promoter","2018-04-23","7463854","9","9","71667,830,758"
"Detractor","2016-11-21","946785","3","10","71706,611,760"
"Promoter","2017-11-08","5150591","9","9","72431,L6Q,000"
"Passive","2017-04-26","2301150","7","9","72928,650,758"
"Passive","2017-11-29","5542788","8","7","74966,L6Q,000"
"Detractor","2016-10-07","651771","4","4","75489,442,000"
"Promoter","2016-11-29","976147","10","10","77646,082,000"
"Promoter","2017-02-24","1617701","10","10","78234,122,000"
"Promoter","2017-02-03","1453099","10","10","78278,442,000"
"Promoter","2018-03-05","6569833","10","10","78655,122,000"
"Passive","2017-03-06","1645901","8","9","78950,442,000"
"Promoter","2017-03-29","1952940","9","9","79228,122,000"
"Promoter","2017-05-23","2582993","10","10","79299,122,000"
"Promoter","2016-11-14","888430","9","3","80878,227,000"
"Promoter","2017-06-19","3253924","10","10","82955,442,000"
"Promoter","2017-01-24","1356213","9","9","83376,033,724"
"Passive","2017-04-10","2014303","7","7","83400,693,760"
"Passive","2017-10-04","4633999","8","10","84773,101,616"
"Passive","2017-02-07","1472119","7","4","86266,211,788"
"Promoter","2016-11-07","857449","9","9","86893,077,724"
"Promoter","2017-03-17","1811139","10","10","87354,124,672"
"Promoter","2017-02-06","1467144","10","10","87513,082,000"
"Promoter","2017-05-12","2443168","9","9","88485,227,000"
"Passive","2017-03-17","1800447","7","9","89431,211,788"
"Detractor","2017-08-25","4019829","3","8","90335,082,000"
"Passive","2017-08-02","3660317","8","9","90420,060,618"
"Promoter","2018-01-30","6124084","10","10","91184,442,000"
"Passive","2018-01-29","6143586","8","8","92171,082,000"
"Promoter","2017-03-31","1987096","10","10","92225,L6Q,000"
"Promoter","2018-02-22","6459932","10","10","92327,255,631"
"Promoter","2017-06-26","3334832","10","10","93058,250,631"
"Passive","2016-11-21","950451","8","10","93749,227,000"
"Promoter","2017-11-12","5150788","10","8","94710,000,744"
"Detractor","2018-05-06","7570508","6","5","CS0022853"
"Promoter","2018-02-20","6363261","10","10","TS000056814"
"Detractor","2017-12-11","5697588","0","0","TS000060583"
"Promoter","2018-04-22","7375655","10","10","TS000077384"
"Passive","2018-01-29","6078015","8","8","TS000089718"
"Promoter","2018-02-11","6245365","10","9","TS000102076"
"Passive","2018-02-27","6533916","8","9","TS000123653"
"Promoter","2018-03-07","6624519","10","10","TS000128007"
